tooth,sex,stage,stage_index,theta,se_theta,n,mode,median,mean,ln_sd,se_ln_sd
M3,female,Rc,12,2.8526,0.0365,9,17.1299,17.3328,17.4351,0.1085,0.0038
M3,female,A1_2,13,2.8934,0.0638,2,17.8433,18.0546,18.1612,0.1085,0.0038
M3,female,Ac,14,2.8934,0.0638,1,17.8433,18.0546,18.1612,0.1085,0.0038
M3,male,Ci,1,2.2402,0.0147,53,9.29,9.3952,9.4482,0.1061,0.0038
M3,male,Cco,2,2.2926,0.015,52,9.7898,9.9006,9.9565,0.1061,0.0038
M3,male,Coc,3,2.3631,0.0171,40,10.5049,10.6238,10.6838,0.1061,0.0038
M3,male,Cr1_2,4,2.425,0.0185,34,11.1757,11.3022,11.366,0.1061,0.0038
M3,male,Cr3_4,5,2.4842,0.0172,39,11.8573,11.9915,12.0592,0.1061,0.0038
M3,male,Crc,6,2.5417,0.0181,35,12.5591,12.7012,12.7729,0.1061,0.0038
M3,male,Ri,7,2.6033,0.0202,28,13.357,13.5082,13.5845,0.1061,0.0038
M3,male,Cli,8,2.6578,0.0239,20,14.1052,14.2649,14.3454,0.1061,0.0038
M3,male,R1_4,9,2.7047,0.0196,30,14.7825,14.9498,15.0342,0.1061,0.0038
M3,male,R1_2,10,2.7743,0.0184,34,15.848,16.0274,16.1179,0.1061,0.0038
M3,male,R3_4,11,2.808,0.0239,20,16.3912,16.5767,16.6703,0.1061,0.0038
M3,male,Rc,12,2.8331,0.0297,13,16.8078,16.9981,17.094,0.1061,0.0038
M3,male,A1_2,13,2.8621,0.0437,6,17.3024,17.4982,17.597,0.1061,0.0038
M3,male,Ac,14,2.9156,0.0482,5,18.2532,18.4599,18.5641,0.1061,0.0038
P3,female,Ci,1,0.838,0.0255,22,2.2873,2.3117,2.324,0.103,0.0029
P3,female,Cco,2,0.9861,0.0154,55,2.6525,2.6808,2.695,0.103,0.0029
P3,female,Coc,3,1.1644,0.0153,53,3.1702,3.204,3.221,0.103,0.0029
P3,female,Cr1_2,4,1.2902,0.0139,63,3.5952,3.6335,3.6528,0.103,0.0029
P3,female,Cr3_4,5,1.48,0.0131,77,4.3466,4.3929,4.4163,0.103,0.0029
P3,female,Crc,6,1.7293,0.0133,78,5.5772,5.6367,5.6667,0.103,0.0029
P3,female,Ri,7,1.9439,0.0124,79,6.9122,6.9859,7.0231,0.103,0.0029
P3,female,R1_4,8,2.076,0.0103,109,7.8884,7.9725,8.0149,0.103,0.0029
P3,female,R1_2,9,2.2619,0.0105,102,9.5,9.6013,9.6524,0.103,0.0029
P3,female,R3_4,10,2.3494,0.0128,68,10.3687,10.4793,10.535,0.103,0.0029
P3,female,Rc,11,2.4447,0.0155,47,11.4054,11.5271,11.5884,0.103,0.0029
P3,female,A1_2,12,2.5236,0.0185,32,12.3418,12.4734,12.5398,0.103,0.0029
P3,female,Ac,13,2.5909,0.0192,31,13.201,13.3418,13.4127,0.103,0.0029
P3,male,Ci,1,0.8512,0.0194,37,2.3195,2.3425,2.354,0.0992,0.0027
P3,male,Cco,2,1.0132,0.0142,62,2.7274,2.7544,2.768,0.0992,0.0027
P3,male,Coc,3,1.1594,0.0134,66,3.1568,3.188,3.2037,0.0992,0.0027
P3,male,Cr1_2,4,1.3196,0.0119,81,3.7053,3.7419,3.7604,0.0992,0.0027
P3,male,Cr3_4,5,1.5338,0.0113,96,4.5904,4.6358,4.6586,0.0992,0.0027
P3,male,Crc,6,1.7846,0.0117,95,5.8989,5.9572,5.9866,0.0992,0.0027
P3,male,Ri,7,1.9811,0.0105,101,7.1797,7.2507,7.2865,0.0992,0.0027
P3,male,R1_4,8,2.1082,0.0099,111,8.1528,8.2334,8.274,0.0992,0.0027
P3,male,R1_2,9,2.3072,0.0112,84,9.9479,10.0463,10.0958,0.0992,0.0027
P3,male,R3_4,10,2.4003,0.0128,63,10.9185,11.0265,11.0809,0.0992,0.0027
P3,male,Rc,11,2.4785,0.015,46,11.8066,11.923400000000001,11.9822,0.0992,0.0027
P3,male,A1_2,12,2.561,0.0174,34,12.822,12.9488,13.0126,0.0992,0.0027
P3,male,Ac,13,2.6371000000000002,0.0161,40,13.8358,13.9726,14.0415,0.0992,0.0027
P4,female,Ci,1,1.2768,0.0175,47,3.5394,3.5851,3.6082,0.1133,0.0031
